target,text,nltk_clean_text,spacy_clean_text
0,@Anjeebaby Snap. I'm the same with any reality show. Watch the first and I'm hooked   Very sad,snap im reality show watch first im hooked sad,snap m reality watch m hook sad
1,@nandielove hey ,hey,hey
1,"@therealsavannah Hi Savannah! I totally love your songs! I was wondering are there any new songs coming up? You rock, btw. ",hi savannah totally love song wondering new song coming rock btw,hi savannah totally love song wonder new song come rock btw
0,it's saturday.long holiday.don't even had any plan. boring.. ,saturdaylong holidaydont even plan boring,saturdaylong holidaydont plan bore
0,Plaid Pantry sells stale swishers ,plaid pantry sell stale swishers,plaid pantry sell stale swisher
1,"Back from three open houses, lots of food, and lots of fun visiting lots of people! ",back three open house lot food lot fun visiting lot people,open house lot food lot fun visit lot people
0,getting ready for another day at work ,getting ready another day work,get ready day work
1,I'm getting ready to go to church!  Andi,im getting ready go church andi,m get ready church andi
1,@LauraScholz I'm gonna need a little more info Laura... What if I click on it and there is nothing but sadness and disappointment?! ,im gonna need little info laura click nothing sadness disappointment,m go to need little info laura click sadness disappointment
1,"poweRangers are so cool, RIGHT BHESTFRIEND? ",powerangers cool right bhestfriend,poweranger cool right bhestfriend
1,"I saw Drag Me To Hell last night!  Go see it!!  If you liked the Evil Dead movies, you will like Drag Me To Hell   Good horror w/ laughs!",saw drag hell last night go see liked evil dead movie like drag hell good horror w laugh,see drag hell night like evil dead movie like drag hell good horror w laugh
1,@Urly2day I already have nude tit pics up so they'll prolly be lingerie shots ,already nude tit pic theyll prolly lingerie shot,nude tit pic ll prolly lingerie shot
1,Is in stirlkbg with the Madre. It's soooo warm ,stirlkbg madre soooo warm,stirlkbg madre soooo warm
0,@stream4341  sigh. well i really wanna go so i guess i'm gonna wear a mask =/,sigh well really wanna go guess im gonna wear mask,sigh wanna guess m go to wear mask
0,I feel like I slept in a gutter! feel sooo rough this morning ,feel like slept gutter feel sooo rough morning,feel like sleep gutter feel sooo rough morning
1,Birthday Countdown: 12 days ,birthday countdown 12 day,birthday countdown day
0,@StopDropandRead I originally just wanted regenbogen (rainbow) but it was taken  #20BoySummer,originally wanted regenbogen rainbow taken,originally want regenbogen rainbow take boysummer
1,ha! just found a contact page plugin for @swgapolitics. One less thing I have to custom build! ,ha found contact page plugin one le thing custom build,ha find contact page plugin thing custom build
0,@ryankeely i thought i saw you dancing in dallas tonight - i was very disappointed it wasnt you ,thought saw dancing dallas tonight disappointed wasnt,think see dance dallas tonight disappointed not
0,I am working  Thank God I have Friday and Monday off. This week should be pretty bearable.,working thank god friday monday week pretty bearable,work thank god friday monday week pretty bearable
1,@gail_nelson Thank you! ,_nelson thank,nelson thank
0,birthdays over in an hour ,birthday hour,birthday hour
1,@whiteb0y712 ,,
1,"blehh, so pissed.. its my birthdayy. ",blehh pissed birthdayy,blehh piss birthdayy
1,"@ktabin Exactly, which is why I suggested it. ",exactly suggested,exactly suggest
1,@arcoarena you need a hashtag for the fight updates - make it easier to follow   we are about to watch on TV,need hashtag fight update make easier follow watch tv,need hashtag fight update easy follow watch tv
1,@Dannymcfly send a kiss for him  you guys were perfect today *o*,send kiss guy perfect today,send kiss guy perfect today o
0,Thought about straightening my hair but I'd be wasting my time. All this moisture is just gonna curl it again once I take the iron off. ,thought straightening hair id wasting time moisture gonna curl take iron,think straighten hair d waste time moisture go to curl iron
0,@f15crypt I can only imagine how frustrating this is for the two of you...wish there was something I could do to speed it up. ,imagine frustrating two youwish something could speed,imagine frustrating youwish speed
1,@Boaa argh! i had my speakers on ,argh speaker,argh speaker
0,WOW!! I CAN'T BELIEVE NADAL HAS LOST !! ,wow cant believe nadal lost,wow cant believe nadal lose
1,yes. finally. posted my first ever blog and our first ever &quot;story&quot;. hahaha. really tired. going to sleep in a while. ,yes finally posted first ever blog first ever quotstoryquot hahaha really tired going sleep,yes finally post blog quotstoryquot hahaha tire go sleep
1,"@frameforum My mate will be well pleased, he's riding that bike already  early 90s steel frame, dura-ace with dt levers.",mate well pleased he riding bike already early 90 steel frame duraace dt lever,mate pleased s ride bike early s steel frame duraace dt lever
0,@warrenparkinson err... no    don't tell me. I'm down to one double shot a day and I *do* love it so,err dont tell im one double shot day love,err not tell m double shot day love
0,Dull and stormy today...  .. I hope it gets better this afternoon..! ;-),dull stormy today hope get better afternoon,dull stormy today hope get well afternoon
1,http://is.gd/Px0u Myspace check it out. ,myspace check,myspace check
1,@justladyc I will!  Thank ya luv bug! ,thank ya luv bug,thank ya luv bug
1,@blue_collar_u Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip ,_collar_u get 100 follower day using wwwtweeterfollowcom add everyone train pay vip,collar_u follower day wwwtweeterfollowcom add train pay vip
0,am not a gd lover ,gd lover,gd lover
0,@iHeartKayla yeahh i miss you already ,yeahh miss already,yeahh miss
0,new video up soon...sorry for the delay  . -lindsay,new video soonsorry delay lindsay,new video soonsorry delay lindsay
1,Kris Allen on the radio. ,kris allen radio,kris allen radio
1,"@alannahJc oh, god thanks.  i thought it was showing eminem.. cuz i still see him.. ahh i hate youtube.",oh god thanks thought showing eminem cuz still see ahh hate youtube,oh god thanks think show eminem cuz ahh hate youtube
0,"Thx for the msg @jennainthedmv.  Comcast let me down last night.   But, yes, I did have my chill drink.  LOL.",thx msg comcast let last night yes chill drink lol,thx msg comcast let night yes chill drink lol
0,Great. Forgott my keys at my parents. Now drove half way back to meet them. Stupid waste of time ,great forgott key parent drove half way back meet stupid waste time,great forgott key parent drive half way meet stupid waste time
1,@swtazucar LMAO!!!!!! ur cray  LOL,lmao ur cray lol,lmao ur cray lol
0,Some of the sync functions on the 3.0 iPhone software are buggy! I lost 2 notes! I hope they're on my Mac and not gone forever.  ,sync function 30 iphone software buggy lost 2 note hope theyre mac gone forever,sync function iphone software buggy lose note hope mac go forever
0,Just finished her boyfriend after 8 months and 17 days ,finished boyfriend 8 month 17 day,finish boyfriend month day
1,I am in EUPHORIA... I am very excited at the possibilities of this. Hopefully this situation works its way out for the better. ,euphoria excited possibility hopefully situation work way better,euphoria excited possibility hopefully situation work way well
0,Ughhhhhh... I just bit myself! SOB! ,ughhhhhh bit sob,ughhhhhh bite sob
1,@Jonasbrothers hey guys i saw yesterday's episode and i wall laughing  tell ur mom &quot;Happy Mothers Day&quot;  and that she's great ,hey guy saw yesterday episode wall laughing tell ur mom quothappy mother dayquot shes great,hey guy see yesterday episode wall laugh tell ur mom quothappy mother dayquot s great
0,Aaaaghh!! Tooooo many tweets from @tracecyrus and @themasonmusso and most have pics! Wanna check em out but don't have time!! ,aaaaghh tooooo many tweet pic wanna check em dont time,aaaaghh tooooo tweet pic wanna check em not time
1,I love free food ,love free food,love free food
1,Talked to @kikielise on the way to class ,talked way class,talk way class
0,@tanyaryno   but i am already following you... sigh...,already following sigh,follow sigh
0,At alex's. Having fun! I miss heather ,alexs fun miss heather,alexs have fun miss heather
1,"weee. just got a haircut. actually its a trim but yeah. my hair was cut. anyways, night at the museum 2 turned out to be awesome ",weee got haircut actually trim yeah hair cut anyways night museum 2 turned awesome,weee get haircut actually trim yeah hair cut anyways night museum turn awesome
1,My friend Verity is gay ,friend verity gay,friend verity gay
0,I have a headache ,headache,headache
1,"@BigMikeInAustin well, I haven't, actually  but I'm rather fond of this little berg. Very little crime. *knockonwood*",well havent actually im rather fond little berg little crime knockonwood,not actually m fond little berg little crime knockonwood
0,i wonder why it never let's me upload a picture? i think twitter has ugly blocked me from putting a pic up ,wonder never let upload picture think twitter ugly blocked putting pic,wonder let upload picture think twitter ugly block put pic
1,Harlem Knights! ,harlem knight,harlem knights
1,Sunday funday! Laying low... Let's go magic... Whoop whoop! ,sunday funday laying low let go magic whoop whoop,sunday funday lay low lets magic whoop whoop
0,why does @mcflyharry never 'tweet'? ,never tweet,tweet
0,"Well the big news is in Chiann is going to have a baby sister or brother, Shane is so not happy right now he's pretty upset  ttyl",well big news chiann going baby sister brother shane happy right he pretty upset ttyl,big news chiann go baby sister brother shane happy right s pretty upset ttyl
0,of course i have to work on this BEAUTIFUL day ,course work beautiful day,course work beautiful day
1,I've decided I like working at home...sometimes. ,ive decided like working homesometimes,ve decide like work homesometime
0,"@karlbright I know, i will have to buy a petticoat to wear underneath to make it longer just like i did with my pirate costume last year ",know buy petticoat wear underneath make longer like pirate costume last year,know buy petticoat wear underneath long like pirate costume year
1,"@adventuregirl I really like travel , and your blog is helpful for me .I 'm following you ",really like travel blog helpful following,like travel blog helpful m follow
1,we leave next weekend. havent packed a thing. im thinking travel light. real light. passport and hand luggage maybe ,leave next weekend havent packed thing im thinking travel light real light passport hand luggage maybe,leave weekend not pack thing m think travel light real light passport hand luggage maybe
0,Wanted to got to the Strawberry festival today but its raining ,wanted got strawberry festival today raining,want got strawberry festival today raining
1,@iyadonna Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip ,get 100 follower day using wwwtweeteraddercom add everyone train pay vip,follower day wwwtweeteraddercom add train pay vip
1,Out for breakfast with my mom  starving,breakfast mom starving,breakfast mom starve
0,Maths was well.. hell yesterday. Unis looking bleak guys ,math well hell yesterday unis looking bleak guy,math hell yesterday unis look bleak guy
1,@NicoleRichie its a beautiful picture! you look so very happy ,beautiful picture look happy,beautiful picture look happy
1,going to the movies with my best friends soooo excited ,going movie best friend soooo excited,go movie good friend soooo excited
1,@ksymmonds *waves* ,wave,wave
0,"Want to watch the news, but want to sleep more...can't sleep yet though as the dishes are still not done.  ",want watch news want sleep morecant sleep yet though dish still done,want watch news want sleep morecant sleep dish
1,SELAH - My  King - For YOU MY GOD ! Meditate on that 1 SPRAT ! SELAH ! KING OF THE JEWS - Seee WHY NOW ,selah king god meditate 1 sprat selah king jew seee,selah king god meditate sprat selah king jews seee
1,SNL on Jack right now. funny. ,snl jack right funny,snl jack right funny
0,Last evening in palm springs... Sad  back to NYC at noon tomorrow.,last evening palm spring sad back nyc noon tomorrow,evening palm spring sad nyc noon tomorrow
1,@mattpro13 I do because I want my 5 more days of school to END AND THAN MY WEEKENDS WILL BE VERY LONG!  ITS CALLED SUMMMER!,want 5 day school end weekend long called summmer,want day school end weekend long called summmer
1,"@fourstringfuror oh, nos! We'll keep you updated! Mark's in 5th  #nascar #clap",oh no well keep updated mark 5th,oh nos update mark th
1,"homeee, just got back from Darby's house. ",homeee got back darbys house,homeee get darbys house
0,my back hurts  and i've finished my brownie :'(,back hurt ive finished brownie,hurt ve finish brownie
0,@globalmdeuce he would sound ruthless fo sho ;) he always kept it real but ya we will never know  he left us too soon,would sound ruthless fo sho always kept real ya never know left u soon,sound ruthless fo sho keep real ya know leave soon
1,YAY @andydickis talking about Zeppelin and eating Chinese it doesn't get any better than this ,yay talking zeppelin eating chinese doesnt get better,yay talk zeppelin eat chinese not well
1,@KingCho Happy birthday! ,happy birthday,happy birthday
1,is listening to music!  ,listening music,listen music
1,"Zelda Fans!!! pand_i - Zelda: The minnish cap, and a want for more music taste: Zelda = epic  I&amp;#.. http://tinyurl.com/d7jvop",zelda fan pand_i zelda minnish cap want music taste zelda epic iamp,zelda fans pand_i zelda minnish cap want music taste zelda epic iamp
1,@imsoapee I'm trying.. but my 4hr blockles date turned into a real one tomorrow  now I can go to sleep.,im trying 4hr blockles date turned real one tomorrow go sleep,m try hr blockle date turn real tomorrow sleep
1,"@johnsgunn You should just hold the #WineTwixer in Halifax.  Seriously, you've inspired me to try and start one up...",hold halifax seriously youve inspired try start one,hold halifax seriously ve inspire try start
0,Has just realised that the jeans I've been wearing all day are completely thread bare in the arse department ,realised jean ive wearing day completely thread bare arse department,realise jean ve wear day completely thread bare arse department
1,@Careof1983 ooo that's a good one but not what I was going for-hi btw! lol ur my first unknown/nonbot reply-ure not a bot r u? lol jks ,ooo thats good one going forhi btw lol ur first unknownnonbot replyure bot r u lol jks,ooo s good go forhi btw lol ur unknownnonbot replyure bot r u lol jks
1,@shutupcase ahhh measels! im leaving my place at 4 so il be at urs by 5  im gunna drop off my bag and pick u up k ,ahhh measels im leaving place 4 il ur 5 im gunna drop bag pick u k,ahhh measel m leave place il urs m gunna drop bag pick u k
1,Oh? I didn't know how to work that! LOL I better pick better music! ,oh didnt know work lol better pick better music,oh not know work lol well pick well music
0,@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww. ,umm yeah thats probably pretty good note self eeeeeewwwwwwww,umm yeah s probably pretty good note self eeeeeewwwwwwww
0,School tomorrow  got another fuking essay to do !,school tomorrow got another fuking essay,school tomorrow get fuke essay
1,"Lovin' @miacarruthers, @TheRealJordin, &amp; @Adrienne_Bailon SOOOO much right now! ",lovin amp _bailon soooo much right,lovin amp bailon soooo right
1,i just got the.. &quot;STOP TWEETING!!&quot;.. so.. goodnight world ,got quotstop tweetingquot goodnight world,get quotstop tweetingquot goodnight world
1,@DavidArchie Hey David! Tell your mom i said Happy Mothers Day and i hope her day is special! ,hey david tell mom said happy mother day hope day special,hey david tell mom say happy mothers day hope day special
0,Hayfever = bad times ,hayfever bad time,hayfever bad time
1,@guybatty tired but only have myself to blame but good otherwise thanks ,tired blame good otherwise thanks,tired blame good thank
0,"I don't like to slam other wines, but had a Malbec Rosa at FlyBar in SF this wknd.  Everyone agreed it tasted like processed cheese  ",dont like slam wine malbec rosa flybar sf wknd everyone agreed tasted like processed cheese,not like slam wine malbec rosa flybar sf wknd agree taste like process cheese
0,boredboredbored. i wanted to watch gossip girl but the fams taken the tv.  i never get to watch GG. sucks.,boredboredbored wanted watch gossip girl fams taken tv never get watch gg suck,boredboredbored want watch gossip girl fam take tv watch gg suck
1,Playing sims 3 ,playing sims 3,play sim
0,So DUMB! My hotel room faces the Clift Hotel and didn't know there was a flippin #adtech party! ,dumb hotel room face clift hotel didnt know flippin party,dumb hotel room face clift hotel not know flippin party
1,oh god. miley cyrus. thi should be good. HER MOVIE IS OUT SOOOOON ,oh god miley cyrus thi good movie sooooon,oh god miley cyrus thi good movie sooooon
0,@ernmander we had a server meltdown last night  new hardware needed today.... mostly sorted now #thrushthursday,server meltdown last night new hardware needed today mostly sorted,server meltdown night new hardware need today sort
0,"another FABULOUS day for the pool.....Rain, Rain and More Rain ",another fabulous day poolrain rain rain,fabulous day poolrain rain rain
1,@xoAnaRevvvv awesome ,awesome,awesome
0,sitting here on the computer looking at bbpmeet and listening to yahoo. knowing i should be sleep. im definetly going to work tomorrow. ,sitting computer looking bbpmeet listening yahoo knowing sleep im definetly going work tomorrow,sit computer look bbpmeet listen yahoo know sleep m definetly go work tomorrow
1,"my agenda w./ roland- biking, jogging, swimming REPEAT. damn, this guys a huge jock. we had a tennis game on  sat., i beat him   ",agenda w roland biking jogging swimming repeat damn guy huge jock tennis game sat beat,agenda w roland bike jog swimming repeat damn guy huge jock tennis game sit beat
0,"FML, i hate not being able to sleep ",fml hate able sleep,fml hate able sleep
0,none of my friends have twitter except one and no pamilya as well  sayang,none friend twitter except one pamilya well sayang,friend twitter pamilya sayang
1,i am so happy about the BRAND you renovated space    &lt;&lt;&lt;&lt;&lt; the new livingroom has a pool check it out in the picc!,happy brand renovated space ltltltltlt new livingroom pool check picc,happy brand renovate space ltltltltlt new livingroom pool check picc
1,@nettiedgreat  i just want to let my friends know that I value them ,want let friend know value,want let friend know value
1,@Chloebeetle my grandma lived to be 103..i credit real food (mostly grown by her) and a fabulous attitude. ,grandma lived 103i credit real food mostly grown fabulous attitude,grandma live credit real food grow fabulous attitude
0,"another day of terrible terrible hayfever! can barely see for watery eyes, and it kept me up all night so headache too  boo!",another day terrible terrible hayfever barely see watery eye kept night headache boo,day terrible terrible hayfever barely watery eye keep night headache boo
1,@officialmila Im following Mila Kunis on twitter   Valerie's not gonna like this. http://twitpic.com/6cc6q,im following mila kunis twitter valeries gonna like,m follow mila kunis twitter valeries go to like
1,off in to town to meet up for a pizza with my friend later ,town meet pizza friend later,town meet pizza friend later
0,good night! Examen tomorrow ,good night examen tomorrow,good night examen tomorrow
1,"@jackalopekid I prefer real food, what about you, Adam?  ...",prefer real food adam,prefer real food adam
0,"Aww, my Wii fit age jumped to 35.  (And I lost a pound.  )",aww wii fit age jumped 35 lost pound,aww wii fit age jump lose pound
0,@PlayRadioPlay What do you mean &quot;you don't know me&quot;? I thought we had a thing going! ,mean quotyou dont know mequot thought thing going,mean quotyou not know mequot think thing go
0,about to start my least favourite chore.... mopping the floor ,start least favourite chore mopping floor,start favourite chore mop floor
0,@kyle270 i'm sorry  i love you xx,im sorry love xx,m sorry love xx
0,@MatthewBryan  now I'm scared of saying the wrong thing...,im scared saying wrong thing,m scared say wrong thing
1,@dwarlick Hello from Des Moines! My favorite PLN tool is Diigo. Check it out.  Have a great day learning ,hello de moines favorite pln tool diigo check great day learning,hello des moines favorite pln tool diigo check great day learn
1,"@nikki8knitter Congratulations! That is so awesome! You have agreat stuff, Nikki I'm sure it's just the first of many to come. ",congratulation awesome agreat stuff nikki im sure first many come,congratulation awesome agreat stuff nikki m sure come
1,I have a new favorite Nevershoutnever! song ,new favorite nevershoutnever song,new favorite nevershoutnever song
0,@abowllan lol ..ummm YOU??? hahaha so sweet but MC is a whore ,lol ummm hahaha sweet mc whore,lol ummm hahaha sweet mc whore
1,@ermmx3 Hey yo ,hey yo,hey yo
0,Made way too much tea not used to cooking for 1  Off to Britney now though see you later )))),made way much tea used cooking 1 britney though see later,way tea cook britney later
